Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2011-12-31,1243.32,26.43,86.95,225.672,1.98,1377.2221239232,29.276437872222,96.314274422613,20.523575499432
2012-01-31,1300.58,26.736666666667,87.48,226.665,1.97,1434.3375078861,29.486385947691,96.476837403216,21.213008091803
2012-02-29,1352.49,27.043333333333,88.01,227.663,1.97,1485.0475411573,29.693850358498,96.635859856455,21.797435963718
2012-03-31,1389.24,27.35,88.54,229.392,2.17,1513.9019911331,29.804223501691,96.485043833264,22.053943972905
2012-04-30,1386.43,27.673333333333,88.333333333333,230.085,2.05,1506.2892943369,30.065741320237,95.969904238289,21.779246906825
2012-05-31,1341.27,27.996666666667,88.126666666667,229.815,1.8,1458.9371661445,30.452763073922,95.857858096005,20.941467419743
2012-06-30,1323.48,28.32,87.92,229.478,1.62,1441.7005872023,30.849699753353,95.773502906597,20.547504086856
2012-07-31,1359.78,28.743333333333,87.446666666667,229.104,1.53,1483.6611548685,31.361960852568,95.413392207615,20.999341293381
2012-08-31,1403.45,29.166666666667,86.973333333333,230.379,1.68,1522.8348419886,31.647736809055,94.371742722499,21.410428453443
2012-09-30,1443.42,29.59,86.5,231.407,1.72,1559.2472084898,31.964448947093,93.441190737532,21.783690301728
2012-10-31,1437.82,30.143333333333,86.503333333333,231.317,1.75,1553.8021493232,32.574853682032,93.481148723037,21.577109654529
2012-11-30,1394.51,30.696666666667,86.506666666667,230.221,1.65,1514.1728182377,33.330745765301,93.929798469007,20.898162059574
2012-12-31,1422.29,31.25,86.51,229.601,1.72,1548.5068471501,34.023187235683,94.187069688285,21.238261139846
2013-01-31,1480.4,31.536666666667,86.906666666667,230.28,1.91,1607.0211937641,34.234052765474,94.339945428753,21.900475413822
2013-02-28,1512.31,31.823333333333,87.303333333333,232.166,1.98,1628.3244860897,34.264610361408,94.000671412553,22.052724336862
2013-03-31,1550.83,32.11,87.7,232.773,1.96,1665.4451666967,34.48311181924,94.181529322559,22.419207114603
2013-04-30,1570.7,32.496666666667,88.783333333333,232.531,1.76,1688.5391447807,34.934674821135,95.444154668266,22.595655396106
2013-05-31,1639.84,32.883333333333,89.866666666667,232.945,1.93,1759.7332151366,35.2875243262,96.437065974085,23.411841781842
2013-06-30,1618.77,33.27,90.95,233.504,2.3,1732.964121439,35.616990875959,97.365954919402,22.925333173915
2013-07-31,1668.68,33.646666666667,92.09,233.596,2.58,1785.6914024641,36.006042733323,98.547547314594,23.49246017716
2013-08-31,1670.09,34.023333333333,93.23,233.877,2.74,1785.0529781146,36.36537701085,99.647617283871,23.356649094916
2013-09-30,1687.17,34.4,94.37,234.149,2.81,1801.2138839478,36.725260411106,100.74891933128,23.442287167961
2013-10-31,1720.03,34.596666666667,96.313333333333,233.546,2.62,1841.0362382036,37.030584963276,103.08909547441,23.834737887631
2013-11-30,1783.54,34.793333333333,98.256666666667,233.069,2.72,1912.9212418855,37.317305139966,105.38438432753,24.642077092412
2013-12-31,1807.78,34.99,100.2,233.049,2.9,1939.0860515385,37.531458995748,107.4779134431,24.861869296462
2014-01-31,1822.36,35.403333333333,100.41666666667,233.916,2.86,1947.4799455788,37.834062245279,107.31109360126,24.859609093633
2014-02-28,1817.04,35.816666666667,100.63333333333,234.781,2.71,1934.6405599261,38.134755456503,107.14641854182,24.590930877894
2014-03-31,1863.52,36.23,100.85,236.293,2.72,1971.4326763806,38.328006066621,106.69001964722,24.956039153965
2014-04-30,1864.26,36.613333333333,101.60666666667,237.072,2.71,1965.7349827268,38.606262091966,107.13729798683,24.786315396963
2014-05-31,1889.77,36.996666666667,102.36333333333,237.9,2.56,1985.6982680223,38.874686825697,107.55948803769,24.943274109903
2014-06-30,1947.09,37.38,103.12,238.343,2.6,2042.1252422454,39.20447516814,108.15316959172,25.558007623511
2014-07-31,1973.1,37.75,104.06666666667,238.25,2.54,2070.2125451207,39.607989244491,109.18864672963,25.817545976159
2014-08-31,1961.53,38.12,105.01333333333,237.852,2.42,2061.5168830302,40.063126019542,110.36627510665,25.617606421799
2014-09-30,1993.23,38.49,105.96,238.031,2.53,2093.2574361638,40.421566361104,111.27745314686,25.918436892606
2014-10-31,1937.27,38.806666666667,104.74333333333,237.433,2.3,2039.6132375765,40.856768049653,110.27677567637,25.162748283083
2014-11-30,2044.57,39.123333333333,103.52666666667,236.151,2.33,2164.2675299385,41.413774043585,109.58754317506,26.606817147143
2014-12-31,2054.27,39.44,102.31,234.812,2.21,2186.9355530701,41.987050491457,108.91721946706,26.794085482573
2015-01-31,2028.18,39.896666666667,101.29,233.707,1.88,2169.3694699988,42.674028252613,108.34118944875,26.492295420383
2015-02-28,2082.2,40.353333333333,100.27,234.722,1.98,2217.5192259354,42.975839255232,106.78640514098,26.995513699383
2015-03-31,2079.99,40.81,99.25,236.119,2.04,2202.0595557219,43.205039672792,105.07474117924,26.728605452928
2015-04-30,2094.86,41.12,97.803333333333,236.599,1.94,2213.3028756461,43.444914813672,103.33311004766,26.791371680192
2015-05-31,2111.94,41.43,96.356666666667,237.805,2.2,2220.0325536679,43.550455362587,101.28835893204,26.806111379651
2015-06-30,2099.29,41.74,94.91,238.638,2.36,2199.0321820603,43.72316510782,99.419396271759,26.495895292785
2015-07-31,2094.14,41.996666666667,93.493333333333,238.654,2.32,2193.4904262028,43.989077265972,97.928854604015,26.3811363364
2015-08-31,2039.87,42.253333333333,92.076666666667,238.316,2.17,2139.6761152734,44.320691085226,96.581764740233,25.693658417058
2015-09-30,1944.41,42.51,90.66,237.945,2.17,2042.7255048961,44.659439733972,95.244055664124,24.496752170486
2015-10-31,2024.81,42.803333333333,89.283333333333,237.838,2.07,2128.1477760598,44.987835224677,93.839978700488,25.491441046067
2015-11-30,2080.62,43.096666666667,87.906666666667,237.336,2.26,2191.431494906,45.391946947928,92.588477446883,26.225851890972
2015-12-31,2054.08,43.39,86.53,236.525,2.24,2170.896165733,45.857602737554,91.450987897685,25.965424037124
